document_id,documento,status,level,analyst_id,created_at
166013,5d374d3d05af49ff8a7d5cb6d3c8548e199bd4d146d9f1523ee0c4e5b7695afb,finished,B,37,2020-05-19 11:00:48
166032,db6ce7f48b7225e75469a069bb656e12ddef2e00d5c80e5015ffdacb5077c402,finished,C,37,2020-06-15 15:08:28
166074,c66ff4a793661a3620e7a9e8c8fddb658603b89a7810d666be6d52d759bb339c,finished,C,51,2021-05-26 10:01:19
166074,c66ff4a793661a3620e7a9e8c8fddb658603b89a7810d666be6d52d759bb339c,finished,D,51,2021-05-26 19:09:58
166125,d30a3576f1210eaee39c61e288e234105f19b59ec85b5656409a4b20b02bc411,finished,D,46,2020-11-03 11:41:34
166131,574194304628680158b6bdb24fd8b4bf7b87d6a7500125063938413d76c6eace,finished,D,51,2021-05-26 19:10:10
166147,e7252699bfce1f139904d79f8fcbbcb6d81ee47f163c78e2fc8c516b8d722c68,in_process,,37,2020-03-30 12:52:00
166147,e7252699bfce1f139904d79f8fcbbcb6d81ee47f163c78e2fc8c516b8d722c68,finished,C,37,2020-03-30 12:52:02
166151,1b2dbe9e7f0f5ec9d16589a142f56766f4e9f26bd7a4f38f6e52fdaf0579e7b3,finished,D,51,2021-05-26 19:10:16
166166,7f0e0fb448a6bd0aada5e2f6d1e7bfa200e485d5ded50d616939454a7b194be9,finished,D,51,2021-05-26 19:10:19
166197,1d4cb6f4548d294d698d0729d12350432d0388ed96d40daab82c195a9c41afa7,in_process,,43,2020-04-14 09:57:24
166197,1d4cb6f4548d294d698d0729d12350432d0388ed96d40daab82c195a9c41afa7,finished,B,43,2020-04-14 09:57:42
166208,117ec306d94cd333df80d6ef9417f147f5dc4ef6ca9750f194943a0035d596c9,finished,D,51,2021-05-26 19:10:31
166223,e4959f54602bd0a15ad3137d4728657542d3c48c237958ae9c655b21b1c62865,finished,D,51,2021-05-26 19:10:35
166246,bb106567c46d1ea94e26248e78f070da2dc35b37ae9a35cbc27c3bc0458f0c40,finished,C,73,2020-10-19 15:06:49
166260,97b47c7459b53f3a693ff54ee7925f325566d3c6e59adfbdfe162d0496865c20,finished,D,41,2021-02-04 13:50:22
166263,81e8af58eff3470cbe887c366d5c191de04e08cdf5874dd6cf48c76117f5c527,finished,D,41,2020-10-01 15:40:15
166279,6ac453bf0f0de31c3226353db331f88ebfc59e242135822c837be8ecd8d647da,finished,C,51,2021-05-26 10:01:27
166279,6ac453bf0f0de31c3226353db331f88ebfc59e242135822c837be8ecd8d647da,finished,D,51,2021-05-26 19:10:45
166287,a89334153ec0518012ba2bd504f1ff98f7e48ad88b0b81cc4371d88dfc21bcb8,finished,D,51,2021-05-26 19:10:46
166308,e15ea9088a8aa0157ed407357c99e50994c5a3c3da376896ee3b5090725ebdab,finished,D,51,2021-05-26 19:10:49
166322,940caad2e3956dbdf964406dc5bb48e343edf712913f95e502908cbf41deba45,finished,C,51,2021-05-26 10:01:30
166322,940caad2e3956dbdf964406dc5bb48e343edf712913f95e502908cbf41deba45,finished,D,51,2021-05-26 19:10:53
166425,2cd253046a8e2a21c5365f0cff2208913ea8fae86543d375ce02d3f73ccadf12,in_process,,43,2020-04-24 09:02:03
166425,2cd253046a8e2a21c5365f0cff2208913ea8fae86543d375ce02d3f73ccadf12,finished,B,43,2020-04-24 09:02:12
166432,027db7a24ffdbe5b2f05f1b07be280f958fc5ffb833c9d9626c32f1a6f7c4b44,finished,D,51,2021-05-26 19:11:18
166542,97ef6c8f229593339fbf0d32421071c4ba9adb782d85fae098986e6842049dea,finished,D,51,2021-05-26 19:11:35
166564,76960ba3f5d797b800d9e84637e62b7af7c737f7ed2dc4e0cd1724dd39b745d8,finished,D,51,2021-05-26 19:11:40
166600,8f719d203e5a7a55e3773abbc41d5bd7cec86faf85cce7e59612dc6a164caa60,finished,C,51,2021-05-26 10:01:46
166600,8f719d203e5a7a55e3773abbc41d5bd7cec86faf85cce7e59612dc6a164caa60,finished,D,51,2021-05-26 19:11:47
166605,02fbef4702d30c32747253f96aa800fd5c086f0e804001e53ab971e7ca690b1b,in_process,,19,2020-03-18 13:52:08
166605,02fbef4702d30c32747253f96aa800fd5c086f0e804001e53ab971e7ca690b1b,finished,C,19,2020-03-18 13:52:11
